"Group","Process","Observed","Mean","Stdev","Min","Quartile25","Median","Quartile75","Max","Lower.whisker","Lower.hinge","Median","Upper.hinge","Upper.whisker","Outlier1","Outlier2","Outlier3","Outlier4","Outlier5","Outlier6","Outlier7","Outlier8","Outlier9","Outlier10","Outlier11","Outlier12","Outlier13","Outlier14","Outlier15","Outlier16"
"double","Stochasticity","0.67054917","0.67150480","0.025279249","0.58532719","0.65413498","0.67259868","0.68827858","0.75596343","0.60403047","0.65413498","0.67259868","0.68827858","0.73815686","0.74264757","0.58532719","0.59647733","0.75596343","0.60178584","0.60146783",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"normal_vs_half","Heterogeneous.Selection","0.03333514","0.03312797","0.006435379","0.01520616","0.02849795","0.03247280","0.03747509","0.05507919","0.01520616","0.02849795","0.03247280","0.03747509","0.05070038","0.05158183","0.05131661","0.05507919","0.05340923",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"normal_vs_half","Homogeneous.Selection","0.33377089","0.33387055","0.017459771","0.28950185","0.32123007","0.33299024","0.34550612","0.39164929","0.28950185","0.32123007","0.33299024","0.34550612","0.38174178","0.38597368","0.39164929","0.38926323",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"normal_vs_half","Dispersal.Limitation","0.41964872","0.41975338","0.018224274","0.36272872","0.40758387","0.42004334","0.43188928","0.46735713","0.37139048","0.40758387","0.42004334","0.43188928","0.46735713","0.36272872","0.36622479","0.36983910","0.37104283",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"normal_vs_half","Homogenizing.Dispersal","0.01623035","0.01626592","0.001403497","0.01246996","0.01526962","0.01621784","0.01721559","0.02127300","0.01246996","0.01526962","0.01621784","0.01721559","0.02003656","0.02127300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"normal_vs_half","Drift.and.Others","0.19701490","0.19698219","0.010496551","0.16542763","0.18992466","0.19657346","0.20317999","0.23008186","0.17121466","0.18992466","0.19657346","0.20317999","0.22305279","0.22556247","0.16847834","0.22357441","0.22522136","0.1654276","0.2245517","0.2269793","0.2264818","0.2294772","0.2258381","0.2243074","0.2255236","0.1663724","0.2283851","0.2300819",NA
"normal_vs_half","Stochasticity","0.63289397","0.63300149","0.017433148","0.56915174","0.62083403","0.63414948","0.64501125","0.68361816","0.58779113","0.62083403","0.63414948","0.64501125","0.68029585","0.56915174","0.58304922","0.57713709","0.68361816","0.5798387",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"normal_vs_double","Heterogeneous.Selection","0.03001542","0.03022289","0.006846383","0.01472524","0.02526041","0.02986874","0.03428813","0.05592267","0.01472524","0.02526041","0.02986874","0.03428813","0.04780078","0.05246939","0.05250184","0.04943243","0.05502679","0.05050659","0.04804883","0.05046033","0.04811560","0.04889592","0.04942478","0.04973037","0.0480845","0.0551681","0.05592267","0.04856214","0.04918741"
"normal_vs_double","Homogeneous.Selection","0.31131556","0.31180664","0.017241268","0.25331820","0.30065991","0.31165640","0.32313598","0.38487945","0.26721458","0.30065991","0.31165640","0.32313598","0.35584735","0.26148695","0.35876205","0.35869923","0.36549928","0.26314802","0.26634467","0.36303274","0.38487945","0.25331820","0.25879584","0.37784904",NA,NA,NA,NA,NA
"normal_vs_double","Dispersal.Limitation","0.45834668","0.45769107","0.019242829","0.37112721","0.44564622","0.45736033","0.47043826","0.51946502","0.41072947","0.44564622","0.45736033","0.47043826","0.50728138","0.38761721","0.40841784","0.40655183","0.40559827","0.51077459","0.40683772","0.39736674","0.51072574","0.37112721","0.40240964","0.39836864","0.5194650",NA,NA,NA,NA
"normal_vs_double","Homogenizing.Dispersal","0.01606607","0.01602743","0.001280420","0.01222965","0.01514916","0.01600103","0.01684461","0.02150004","0.01263741","0.01514916","0.01600103","0.01684461","0.01937236","0.01978089","0.01222965","0.02031717","0.01238239","0.02078160","0.01974655","0.02150004","0.01939044","0.01996321","0.01244205",NA,NA,NA,NA,NA,NA
"normal_vs_double","Drift.and.Others","0.18425628","0.18425198","0.010510741","0.15411996","0.17729680","0.18394641","0.19129178","0.22132324","0.15729196","0.17729680","0.18394641","0.19129178","0.21139396","0.21530649","0.15411996","0.21759697","0.15424397","0.21449180","0.21541033","0.15627893","0.22132324",NA,NA,NA,NA,NA,NA,NA,NA
"normal_vs_double","Stochasticity","0.65866902","0.65797047","0.017543505","0.58331291","0.64669143","0.65824287","0.66930671","0.71401613","0.61350461","0.64669143","0.65824287","0.66930671","0.70183112","0.60189540","0.60817371","0.70689105","0.60385133","0.60874459","0.70863821","0.61137641","0.60782359","0.58331291","0.70388876","0.71401613","0.7032997","0.5989342",NA,NA,NA
"half_vs_double","Heterogeneous.Selection","0.03421002","0.03425296","0.006336536","0.01653566","0.02985945","0.03387079","0.03819444","0.05752207","0.01787383","0.02985945","0.03387079","0.03819444","0.05059961","0.05752207","0.05214208","0.05083576","0.05289398","0.05181891","0.01653566","0.05090681","0.05086801","0.05561380","0.05180011","0.05164106",NA,NA,NA,NA,NA
"half_vs_double","Homogeneous.Selection","0.32983542","0.32918749","0.018081491","0.27168652","0.31687566","0.32905370","0.34084478","0.39393234","0.28140478","0.31687566","0.32905370","0.34084478","0.37659464","0.37905294","0.27952387","0.27307218","0.37742640","0.27168652","0.37942497","0.37980317","0.39393234",NA,NA,NA,NA,NA,NA,NA,NA
"half_vs_double","Dispersal.Limitation","0.44292109","0.44326153","0.017643154","0.37457623","0.43111834","0.44388085","0.45533515","0.49457538","0.39921617","0.43111834","0.44388085","0.45533515","0.49026278","0.39192681","0.49457538","0.39440955","0.37457623",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"half_vs_double","Homogenizing.Dispersal","0.01570271","0.01568880","0.001402261","0.01193729","0.01469396","0.01566447","0.01653760","0.02084933","0.01193729","0.01469396","0.01566447","0.01653760","0.01920756","0.01949769","0.01970401","0.02015936","0.02049193","0.01987270","0.02084933","0.01954207","0.02003499","0.02005957","0.02011018",NA,NA,NA,NA,NA,NA
"half_vs_double","Drift.and.Others","0.17733076","0.17760922","0.008867502","0.14718955","0.17152169","0.17767782","0.18369347","0.20520968","0.15422743","0.17152169","0.17767782","0.18369347","0.20136523","0.20299109","0.15217770","0.15284883","0.20520968","0.15163429","0.14718955","0.15056539",NA,NA,NA,NA,NA,NA,NA,NA,NA
"half_vs_double","Stochasticity","0.63595455","0.63655955","0.018482189","0.57239183","0.62376550","0.63694512","0.65005482","0.69043003","0.58721893","0.62376550","0.63694512","0.65005482","0.68663391","0.69043003","0.58185375","0.57239183",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
