"Group","Process","Observed","Mean","Stdev","Min","Quartile25","Median","Quartile75","Max","Lower.whisker","Lower.hinge","Median","Upper.hinge","Upper.whisker","Outlier1","Outlier2","Outlier3","Outlier4","Outlier5","Outlier6","Outlier7","Outlier8","Outlier9","Outlier10","Outlier11","Outlier12","Outlier13","Outlier14"
"normal_vs_half","Homogeneous.Selection","0.568416557","0.568231062","0.0098747240","0.533190852","0.561351677","0.568030833","0.575202956","0.602515162","0.540673381","0.561351677","0.568030833","0.575202956","0.593990570","0.537017627","0.533190852","0.597281615","0.602515162","0.537268662",NA,NA,NA,NA,NA,NA,NA,NA,NA
"normal_vs_half","Dispersal.Limitation","0.236688492","0.236816005","0.0101680760","0.205644804","0.229491219","0.236720567","0.244215420","0.265553535","0.209247525","0.229491219","0.236720567","0.244215420","0.265553535","0.205644804",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"normal_vs_half","Homogenizing.Dispersal","0.021380878","0.021408259","0.0007979901","0.019042825","0.020891606","0.021427394","0.021948555","0.023557132","0.019309750","0.020891606","0.021427394","0.021948555","0.023398699","0.019269485","0.019169039","0.019042825","0.023557132",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"normal_vs_half","Drift.and.Others","0.167899316","0.167931872","0.0046467030","0.149955234","0.164783528","0.167764785","0.171025649","0.185315205","0.155663877","0.164783528","0.167764785","0.171025649","0.180323017","0.181572211","0.149955234","0.185315205","0.180967513","0.184449984","0.180597557","0.155159583","0.153892281",NA,NA,NA,NA,NA,NA
"normal_vs_half","Stochasticity","0.425968686","0.426156136","0.0096325745","0.392556873","0.419368926","0.426283211","0.432799477","0.460592442","0.400923643","0.419368926","0.426283211","0.432799477","0.450984733","0.453157750","0.456476047","0.460592442","0.398023590","0.392556873","0.457023743",NA,NA,NA,NA,NA,NA,NA,NA
"normal_vs_double","Heterogeneous.Selection","0.006302432","0.00632373","0.0008983111","0.003802904","0.005666348","0.006262203","0.006887162","0.009257032","0.004166213","0.005666348","0.006262203","0.006887162","0.008678309","0.008760037","0.009115904","0.009231351","0.009257032","0.008754073","0.008853092","0.003802904",NA,NA,NA,NA,NA,NA,NA
"normal_vs_double","Homogeneous.Selection","0.557527342","0.55791063","0.0110111335","0.522766146","0.550511885","0.557943483","0.565307673","0.593840241","0.528503406","0.550511885","0.557943483","0.565307673","0.585194488","0.589679066","0.588203607","0.526869565","0.523407649","0.587537170","0.591640754","0.593840241","0.5227661","0.5246463","0.5277022","0.5889428",NA,NA,NA
"normal_vs_double","Dispersal.Limitation","0.241773504","0.24147005","0.0103996495","0.207446129","0.234427136","0.241208411","0.248355895","0.281017677","0.214810002","0.234427136","0.241208411","0.248355895","0.268877223","0.269746828","0.271949409","0.269782105","0.270344980","0.210477067","0.270397045","0.207446129","0.2810177",NA,NA,NA,NA,NA,NA
"normal_vs_double","Homogenizing.Dispersal","0.024403541","0.02435069","0.0007736680","0.022145199","0.023825263","0.024303180","0.024875752","0.027688126","0.022275188","0.023825263","0.024303180","0.024875752","0.026369269","0.027159163","0.022204764","0.026465869","0.027688126","0.022145199",NA,NA,NA,NA,NA,NA,NA,NA,NA
"normal_vs_double","Drift.and.Others","0.169993182","0.16994490","0.0049534398","0.156244653","0.166407421","0.169761978","0.173275944","0.186791719","0.156244653","0.166407421","0.169761978","0.173275944","0.183279132","0.185405654","0.184602323","0.186791719","0.184064899","0.184594012",NA,NA,NA,NA,NA,NA,NA,NA,NA
"normal_vs_double","Stochasticity","0.436170227","0.43576564","0.0106129499","0.401096961","0.428630286","0.435709011","0.442733016","0.469879318","0.407833277","0.428630286","0.435709011","0.442733016","0.463619526","0.405717442","0.464570789","0.464922607","0.465047579","0.406369531","0.465855991","0.469879318","0.4036348","0.4010970","0.4693987","0.4685142","0.4042022",NA,NA
"half_vs_double","Heterogeneous.Selection","0.006444766","0.006512894","0.0009340909","0.004149971","0.005836989","0.006447572","0.00709598","0.009904069","0.004149971","0.005836989","0.006447572","0.00709598","0.008911931","0.009167308","0.009415773","0.00954752","0.009904069","0.009584828","0.009618691","0.009741574","0.009439788",NA,NA,NA,NA,NA,NA
"half_vs_double","Homogeneous.Selection","0.564784352","0.564181293","0.0120039612","0.528088068","0.555803920","0.564045783","0.57193626","0.602861799","0.532462503","0.555803920","0.564045783","0.57193626","0.595989946","0.531246476","0.597157942","0.52829317","0.528088068","0.602861799","0.599913787","0.529814095","0.596749595",NA,NA,NA,NA,NA,NA
"half_vs_double","Dispersal.Limitation","0.242613755","0.242886836","0.0112969375","0.206591136","0.235135862","0.243057077","0.25055330","0.279063066","0.212817940","0.235135862","0.243057077","0.25055330","0.271079035","0.211687273","0.275058200","0.27465118","0.206591136","0.273797400","0.210913535","0.279063066","0.211552397",NA,NA,NA,NA,NA,NA
"half_vs_double","Homogenizing.Dispersal","0.021680883","0.021685406","0.0007610626","0.019504959","0.021168264","0.021671689","0.02218691","0.024363749","0.019720803","0.021168264","0.021671689","0.02218691","0.023693810","0.024326592","0.019504959","0.02398989","0.023901594","0.024145393","0.024050258","0.019512589","0.024363749",NA,NA,NA,NA,NA,NA
"half_vs_double","Drift.and.Others","0.164476245","0.164733571","0.0047020973","0.150704820","0.161253952","0.164858244","0.16774729","0.181374848","0.152101838","0.161253952","0.164858244","0.16774729","0.176554507","0.177787545","0.177725346","0.15107573","0.181374848","0.177504822","0.150704820","0.178221967",NA,NA,NA,NA,NA,NA,NA
"half_vs_double","Stochasticity","0.428770883","0.429305813","0.0115613202","0.392988231","0.421736829","0.429541563","0.43731917","0.463489229","0.398692834","0.421736829","0.429541563","0.43731917","0.459146403","0.397279652","0.460972784","0.39821580","0.463489229","0.462364412","0.392988231","0.394806637","0.463105428",NA,NA,NA,NA,NA,NA
