"","OTU.ID","hit","size","GC"
"143","Zotu1013",2,4.56314,67
"144","Zotu10130",2,7.18989,63.1
"145","Zotu10131",2,1.85556,34
"146","Zotu10132",2,5.337075,53.760305693287
"147","Zotu10133",8,8.10178,41.1
"148","Zotu10135",1,8.19389,63.5
"149","Zotu10136",2,4.71655,64.4
"150","Zotu10137",2,9.44631,69.5
"151","Zotu10138",2.6,10.56084,72.0512093734968
"152","Zotu10139",1,6.46898,70.5
"153","Zotu1014",1,5.21225,74
"154","Zotu10140",4,16.0407,69.1
"155","Zotu10141",1,6.60879,58
"156","Zotu10142",1,6.46898,70.5
"157","Zotu10143",2,4.71655,64.4
"158","Zotu10144",2,4.71655,64.4
"159","Zotu10145",2,1.51185,35.3052
"160","Zotu10146",2,3.10158,53.5397
"161","Zotu10147",1,3.45829,68.1
"162","Zotu10148",4,6.96779,51.5
"163","Zotu10149",2,6.57702,55.086479591061
"164","Zotu1015",6,4.63373333333333,61.6921800276235
"165","Zotu10150",1,5.07962,46.4
"166","Zotu10151",1,3.80295,68.6
"167","Zotu10152",1,6.61866,66.5
"168","Zotu10153",1,6.44369,55
"169","Zotu10154",9,3.4881,36.3
"170","Zotu10155",1,3.42173,70.7
"171","Zotu10156",2,9.53209,63.0023
"172","Zotu10157",4,6.96779,51.5
"173","Zotu10158",2,3.97585,44.5
"174","Zotu10159",3,10.5263,70.7932
"175","Zotu1016",2,4.56314,67
"176","Zotu10160",1,4.03761,65.487
"177","Zotu10161",1,3.45829,68.1
"178","Zotu10162",1,2.74695,69.9
"179","Zotu10163",1,6.46898,70.5
"180","Zotu10164",2,4.001,61.3
"181","Zotu10165",6,3.2725,38.2562
"182","Zotu10166",2,9.85739,67.3872
"183","Zotu10167",2.5,4.454225,57.1103592294956
"184","Zotu10168",2,6.41208,61
"185","Zotu1017",1,5.78108,40.2737
"186","Zotu10170",1,6.46898,70.5
"187","Zotu10171",2.33333333333333,7.95164333333333,72.4887696589342
"188","Zotu10172",3,10.5263,70.7932
"189","Zotu10173",2,5.17909,65.1
"190","Zotu10174",3,5.5293,62.4469
"191","Zotu10175",3,11.3881,68.7
"192","Zotu10176",1,5.65037,58.4
"193","Zotu10177",1,6.61866,66.5
"194","Zotu10178",6,9.03368,70.5427988925886
"195","Zotu10179",7,2.61677,48.0277678781475
"196","Zotu1018",3.33333333333333,7.24766333333333,73.04253908961
"197","Zotu10180",3,8.93365,67.0495964695281
"198","Zotu10181",1,6.974645,68.7303742341008
"199","Zotu10182",1,3.80869,59.7
"200","Zotu10183",2,3.32219,42
"201","Zotu10184",14,6.63968,47.6074
"202","Zotu10185",2,9.53209,63.0023
"203","Zotu10186",6,5.961422,62.3534730472025
"204","Zotu10187",2,5.17909,65.1
"205","Zotu10188",1,1.73949,62.7
"206","Zotu10189",1,6.46898,70.5
"207","Zotu1019",1,2.55748,65.2
"208","Zotu10190",2,6.37146,70.6013
"209","Zotu10191",1,4.3202,64.3
"210","Zotu10192",2,3.10122,38.7
"211","Zotu10193",1,3.71545,72.6
"212","Zotu10194",3,6.90607,60.0402
"213","Zotu10195",1,3.02072,69.5
"214","Zotu10196",4,6.80014,72.8
"215","Zotu10197",3,10.5263,70.7932
"216","Zotu10198",1,2.46186,55.4
"217","Zotu10199",2,4.71655,64.4
"218","Zotu102",2,7.03315,72.1113063136717
"219","Zotu1020",5.5,2.998595,37.9
"220","Zotu10200",1,3.39355,53.9
"221","Zotu10201",3,4.98404,41.4018
"222","Zotu10202",1,3.24354,67.8
"223","Zotu10203",2,4.71655,64.4
"224","Zotu10204",1,3.84133,67.2
"225","Zotu10205",1,3.18809,63.2477935064568
"226","Zotu10206",4,12.1915,66.1
"227","Zotu10207",2,9.44631,69.5
"228","Zotu10208",2.6,10.56084,72.0512093734968
"229","Zotu10209",2,5.83265,69.8
"230","Zotu1021",1,6.44369,55
"231","Zotu10210",2,5.34081,70.7
"232","Zotu10211",2,5.89412,66
"233","Zotu10212",1,2.57443,49.1
"234","Zotu10213",2,5.83476,70.9
"235","Zotu10214",2,9.53209,63.0023
"236","Zotu10215",1,3.45829,68.1
"237","Zotu10216",2,4.71655,64.4
"238","Zotu10217",1,5.52803,37.9
"239","Zotu10218",1,0.915884,47.7
"240","Zotu10219",1,6.35937,72.7
"241","Zotu1022",1,3.02072,69.5
"242","Zotu10220",8,9.75569,62.2672
"243","Zotu10221",4,4.83201,68.6
"244","Zotu10222",1,3.517615,61.1038362720195
"245","Zotu10223",1,5.22419,70.2
"246","Zotu10224",1,6.79455,60.2
"247","Zotu10225",1,3.29931,70.3
"248","Zotu10226",2,4.594005,54.5151383964536
"249","Zotu10227",1,3.42173,70.7
"250","Zotu10228",1,3.1529,29
"251","Zotu10229",2,4.0356,43.2
"252","Zotu1023",1,6.46898,70.5
"253","Zotu10230",2,9.53209,63.0023
"254","Zotu10231",1,5.22419,70.2
"255","Zotu10232",2,5.62773,44.5
"256","Zotu10233",2,4.99025,59.9
"257","Zotu10234",6.63636363636364,8.16063363636364,72.1840738971361
"258","Zotu10235",1.75,4.492015,66.2202776701547
"259","Zotu10236",1,2.74695,69.9
"260","Zotu10237",2.5,3.0569,64.5893936667866
"261","Zotu10238",1,1.22228,38.3
"262","Zotu10239",2,5.83913,66.1117942403235
"263","Zotu1024",2,2.83319,47.8174
"264","Zotu10240",2,7.79579,71.3
"265","Zotu10241",2,9.53209,63.0023
"266","Zotu10242",1,4.500235,57.703640143237
"267","Zotu10243",1,2.74695,69.9
"268","Zotu10244",3,5.16738,42
"269","Zotu10245",1,3.23431,53.835
"270","Zotu10246",1,6.44369,55
"271","Zotu10247",2,9.53209,63.0023
"272","Zotu10248",1,2.86467,61.4
"273","Zotu10249",8,3.15945,43.7
"274","Zotu1025",1,5.65037,58.4
"275","Zotu10250",2,5.39916,71.9
"276","Zotu10251",1,3.45829,68.1
"277","Zotu10252",1,5.95761,65.3
"278","Zotu10253",1,5.21225,74
"279","Zotu10254",1,6.974645,68.7303742341008
"280","Zotu10255",2,2.81797,37.9836
"281","Zotu10256",1,3.39355,53.9
"282","Zotu10257",2,6.32915,69.5555726036672
"283","Zotu10258",1,5.22419,70.2
"284","Zotu10259",2,3.93719,65
"285","Zotu1026",5,6.44369,55
"286","Zotu10260",2,7.18989,63.1
"287","Zotu10261",1,6.61866,66.5
"288","Zotu10262",4,12.1915,66.1
"289","Zotu10263",4,12.1915,66.1
"290","Zotu10264",1,4.26499,62.677
"291","Zotu10265",1,6.94615,70.257050008134
"292","Zotu10266",1,2.41765,65.3
"293","Zotu10267",4,6.96779,51.5
"294","Zotu10268",2,5.34081,70.7
"295","Zotu10269",1,7.48031,67.2
"296","Zotu1027",1,2.17577,37.9185
"297","Zotu10270",4,6.30949,49.9
"298","Zotu10271",1,4.03761,65.487
"299","Zotu10272",4,3.26473,35.3
"300","Zotu10273",4,4.30734,46.1
"301","Zotu10274",1,5.87917,45.7958
"302","Zotu10275",2,5.17909,65.1
"303","Zotu10276",1,3.45829,68.1
"304","Zotu10277",11,3.96666,49.3
"305","Zotu10278",2,3.82305,67.7
"306","Zotu10279",2,4.05237,59.4647
"307","Zotu1028",2,9.53209,63.0023
"308","Zotu10280",2,8.24139,50.9
"309","Zotu10281",5,2.46762,55.474
"310","Zotu10282",3,5.19693,64.9
"311","Zotu10283",2,9.44631,69.5
"312","Zotu10284",4,4.35554,70.5
"313","Zotu10285",1,3.45534,37
"314","Zotu10286",4,6.80014,72.8
"315","Zotu10287",2,3.4355,68.6
"316","Zotu10288",1,6.44369,55
"317","Zotu1029",4,4.05802,64.1492
"318","Zotu10290",1,6.79455,60.2
"319","Zotu10291",2,4.71655,64.4
"320","Zotu10292",1.5,0.8532635,31.2414092481396
"321","Zotu10293",1,3.11622,64.8
"322","Zotu10294",3,5.61802,43.3138
"323","Zotu10295",1,4.6955,50.8604
"324","Zotu10296",1,6.94615,70.257050008134
"325","Zotu10297",1,8.19389,63.5
"326","Zotu10298",1.5,6.058085,69.448767530416
"327","Zotu10299",1,3.45829,68.1
"328","Zotu103",5,12.3201,69.4
"329","Zotu1030",5,7.38239,67.4958
"330","Zotu10300",2,8.24139,50.9
"331","Zotu10301",1,2.9174,70.5
"332","Zotu10302",1,5.00189,44.5
"333","Zotu10303",2,5.14487,58.8
"334","Zotu10304",2,6.37146,70.6013
"335","Zotu10305",2,5.3391,70.6
"336","Zotu10306",3,11.3881,68.7
"337","Zotu10307",1,3.45829,68.1
"338","Zotu10308",2,8.24139,50.9
"339","Zotu10309",1,3.42173,70.7
"340","Zotu1031",1,6.44369,55
"341","Zotu10310",4,3.565,54.1
"342","Zotu10311",2,8.24139,50.9
"343","Zotu10312",1,3.71545,72.6
"344","Zotu10313",6.5,8.548635,45.6661516136787
"345","Zotu10314",1,2.74695,69.9
"346","Zotu10315",1,6.44369,55
"347","Zotu10316",2,4.71655,64.4
"348","Zotu10317",1,2.89704,50.7938
"349","Zotu10318",2.33333333333333,5.25602666666667,49.2760015037975
"350","Zotu10319",1,6.46898,70.5
"351","Zotu1032",6.63636363636364,8.16063363636364,72.1840738971361
"352","Zotu10320",2,3.32219,42
"353","Zotu10321",6,9.23983333333333,71.3
"354","Zotu10322",2,9.44631,69.5
"355","Zotu10323",1,3.65384,63.9
"356","Zotu10324",1,6.974645,68.7303742341008
"357","Zotu10325",2.66666666666667,9.67933666666667,65.2121366239629
"358","Zotu10326",2,3.32219,42
"359","Zotu10327",2,4.71655,64.4
"360","Zotu10328",5,4.77043,57.3
"361","Zotu10329",2,7.28744,74.4421
"362","Zotu1033",1,3.45829,68.1
"363","Zotu10330",3,7.59593,59.8741
"364","Zotu10331",2,5.17909,65.1
"365","Zotu10332",2,7.95775,59.9
"366","Zotu10333",1,1.09316666666667,37.0335529806373
"367","Zotu10334",1,4.1939,68.1
"368","Zotu10335",1,3.48654,63.9
"369","Zotu10336",1,6.79455,60.2
"370","Zotu10337",1,6.46898,70.5
"371","Zotu10338",27,4.51696,53
"372","Zotu10339",3.66666666666667,7.71357888888889,72.6556879563471
"373","Zotu1034",2,4.94413,61.3
"374","Zotu10340",2,3.93719,65
"375","Zotu10341",1,3.45534,37
"376","Zotu10342",2,3.53238,53.8
"377","Zotu10343",2,5.415825,43.9540696015842
"378","Zotu10344",2,8.24139,50.9
"379","Zotu10345",2.66666666666667,4.34050333333333,74.1925904656219
"380","Zotu10346",2,6.37146,70.6013
"381","Zotu10347",2,5.17909,65.1
"382","Zotu10348",9,8.87993,50.6
"383","Zotu10349",2,3.32219,42
"384","Zotu1035",6,9.89781,71.5
"385","Zotu10350",1,5.65037,58.4
"386","Zotu10351",1,5.65037,58.4
