"Feature.ID" "Kingdom" "Phylum" "Class" "Order" "Family" "Genus" "Species" "Confidence"
"40" "Zotu40" "Fungi" "Basidiomycota" "Agaricomycetes" "Thelephorales" "Unassigned" "Unassigned" "Unassigned" 0.987822898828926
"41" "Zotu41" "Fungi" "Ascomycota" "Sordariomycetes" "Hypocreales" "Nectriaceae" "Fusarium" "Fusarium_oxysporum" 0.995032781404627
"42" "Zotu42" "Fungi" "Ascomycota" "Orbiliomycetes" "Orbiliales" "Orbiliaceae" "Arthrobotrys" "Arthrobotrys_entomopaga" 0.985316008618695
"43" "Zotu43" "Fungi" "Ascomycota" "Sordariomycetes" "Hypocreales" "Nectriaceae" "Fusarium" "Unassigned" 0.965773488640317
"44" "Zotu44" "Fungi" "Ascomycota" "Leotiomycetes" "Helotiales" "Helotiaceae" "Tetracladium" "Unassigned" 0.950524080518246
"45" "Zotu45" "Fungi" "Ascomycota" "Orbiliomycetes" "Orbiliales" "Orbiliaceae" "Arthrobotrys" "Arthrobotrys_entomopaga" 0.741355642714779
"46" "Zotu46" "Fungi" "Basidiomycota" "Agaricomycetes" "Agaricales" "Marasmiaceae" "Marasmius" "Unassigned" 0.930797555416633
"47" "Zotu47" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "Phaeosphaeriaceae" "Phaeosphaeria" "Unassigned" 0.997040340409847
"48" "Zotu48" "Fungi" "Ascomycota" "Orbiliomycetes" "Orbiliales" "Orbiliaceae" "Arthrobotrys" "Unassigned" 0.760191807577234
"49" "Zotu49" "Fungi" "Ascomycota" "Unassigned" "Unassigned" "Unassigned" "Unassigned" "Unassigned" 0.969639397845526
"50" "Zotu50" "Fungi" "Ascomycota" "Orbiliomycetes" "Orbiliales" "Orbiliaceae" "Dactylella" "Dactylella_clavata" 0.999999975531708
"51" "Zotu51" "Fungi" "Ascomycota" "Sordariomycetes" "Hypocreales" "Nectriaceae" "Fusarium" "Fusarium_penzigii" 0.931969505242774
"52" "Zotu52" "Fungi" "Basidiomycota" "Agaricomycetes" "Polyporales" "Hyphodermataceae" "Hyphoderma" "Hyphoderma_setigerum" 0.999997635963562
"53" "Zotu53" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "Didymellaceae" "Epicoccum" "Epicoccum_nigrum" 0.986529629257849
"54" "Zotu54" "Fungi" "Basidiomycota" "Agaricomycetes" "Russulales" "Auriscalpiaceae" "Lentinellus" "Lentinellus_castoreus" 0.999998543989869
"55" "Zotu55" "Fungi" "Basidiomycota" "Agaricomycetes" "Geastrales" "Geastraceae" "Geastrum" "Unassigned" 0.878577467521719
"56" "Zotu56" "Fungi" "Ascomycota" "Eurotiomycetes" "Chaetothyriales" "Herpotrichiellaceae" "Cladophialophora" "Unassigned" 0.997686751576189
"57" "Zotu57" "Fungi" "Basidiomycota" "Agaricomycetes" "Agaricales" "Bolbitiaceae" "Agrocybe" "Agrocybe_pediades" 0.918204208412854
"58" "Zotu58" "Fungi" "Basidiomycota" "Agaricomycetes" "Cantharellales" "Cantharellales_fam_Incertae_sedis" "Minimedusa" "Minimedusa_polyspora" 0.999999999999915
"59" "Zotu59" "Fungi" "Basidiomycota" "Agaricomycetes" "Sebacinales" "Serendipitaceae" "Unassigned" "Unassigned" 0.900661299288955
"60" "Zotu60" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "Melanommataceae" "Unassigned" "Unassigned" 0.999998045512973
"61" "Zotu61" "Fungi" "Ascomycota" "Dothideomycetes" "Unassigned" "Unassigned" "Unassigned" "Unassigned" 0.843925111335492
"62" "Zotu62" "Fungi" "Unassigned" "Unassigned" "Unassigned" "Unassigned" "Unassigned" "Unassigned" 0.725748612094208
