Feature ID	Taxon	Confidence
Zotu5791	k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Ostropales;f__Stictidaceae;g__Neofitzroyomyces;s__Neofitzroyomyces_nerii	0.9998270668338439
Zotu5792	k__Fungi;p__Ascomycota	0.9970347976324377
Zotu5793	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Diversisporales;f__Diversisporaceae	0.7823162518439837
Zotu5794	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales	0.8803662895110712
Zotu5795	k__Fungi;p__Basidiomycota	0.7220039437769824
Zotu5796	k__Fungi	0.9999999999999869
Zotu5797	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales	0.9994634087806678
Zotu5798	k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified	0.7627964643264576
Zotu5799	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__unidentified;f__unidentified;g__unidentified;s__unidentified	0.8441339253889687
Zotu5800	k__Fungi;p__Mucoromycota;c__Endogonomycetes;o__Endogonales	0.721761182373189
Zotu5801	k__Fungi	0.9999999999999999
Zotu5802	k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified	0.8051077347972846
Zotu5803	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Cucurbitariaceae;g__Pyrenochaetopsis;s__Pyrenochaetopsis_leptospora	0.9999911258041697
Zotu5804	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Phialophora	0.998969024063392
Zotu5805	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Geastrales;f__Geastraceae;g__Geastrum	0.9926733774043096
Zotu5806	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Cyphellophoraceae;g__Cyphellophora;s__Cyphellophora_gamsii	0.9144649625177489
Zotu5807	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Onygenales;f__unidentified;g__unidentified;s__unidentified	0.9464008118966676
Zotu5808	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Irpicaceae;g__Irpex;s__Irpex_lacteus	0.9999916149829001
Zotu5809	k__Fungi;p__Chytridiomycota;c__Chytridiomycetes;o__Chytridiales;f__Chytridiaceae;g__Phlyctochytrium;s__Phlyctochytrium_reinboldtiae	0.9999680060044518
Zotu5810	k__Fungi;p__Ascomycota;c__Sordariomycetes	0.842572409863316
Zotu5811	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__unidentified;g__unidentified;s__unidentified	0.9195511235220907
Zotu5812	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Onygenales;f__Onygenales_fam_Incertae_sedis;g__Chrysosporium;s__Chrysosporium_lobatum	0.9999981598777216
Zotu5813	k__Fungi	0.9999999999999996
Zotu5814	k__Fungi	1.0000000000000098
Zotu5815	k__Fungi	0.9999999999999916
Zotu5816	k__Fungi	1.0000000000000036
Zotu5817	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_minutissima	0.9782478115053358
Zotu5818	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Corticiales;f__Corticiaceae;g__Laetisaria;s__unidentified	0.8293735231163863
Zotu5819	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Diversisporales;f__Diversisporaceae;g__Corymbiglomus;s__Corymbiglomus_corymbiforme	0.999686464915192
Zotu5820	k__Fungi	1.0000000000000047
Zotu5821	k__Fungi	1.0000000000000013
Zotu5822	k__Fungi	1.0000000000000127
Zotu5823	k__Fungi;p__Basidiomycota;c__GS27;o__GS27;f__unidentified;g__unidentified;s__unidentified	0.9999999877672395
